State,Year,Crop,Area_ha,Production_tonnes,Yield_t_per_ha
Andaman And Nicobar Islands,2000-01,Arecanut,4354.000,7200.000,1.653652
Andaman And Nicobar Islands,2000-01,Banana,1707.000,12714.000,7.448155
Andaman And Nicobar Islands,2000-01,Cashewnut,800.000,219.000,0.273750
Andaman And Nicobar Islands,2000-01,Coconut,25160.000,89000000.000,3537.360890
Andaman And Nicobar Islands,2000-01,Ginger,388.000,1220.000,3.144330
Andaman And Nicobar Islands,2000-01,Other Kharif Pulses,670.000,449.000,0.670149
Andaman And Nicobar Islands,2000-01,Other Oilseeds,133.000,55.000,0.413534
Andaman And Nicobar Islands,2000-01,Rice,10881.000,32184.000,2.957816
Andaman And Nicobar Islands,2000-01,Sugarcane,142.000,3738.000,26.323944
Andaman And Nicobar Islands,2000-01,Sweet Potato,83.000,858.000,10.337349
Andaman And Nicobar Islands,2000-01,Tapioca,200.000,2277.000,11.385000
Andaman And Nicobar Islands,2001-02,Arecanut,4354.000,7300.000,1.676619
Andaman And Nicobar Islands,2001-02,Cashewnut,800.000,225.000,0.281250
Andaman And Nicobar Islands,2001-02,Coconut,25205.000,89680000.000,3558.024202
Andaman And Nicobar Islands,2001-02,Ginger,390.000,1224.000,3.138462
Andaman And Nicobar Islands,2001-02,Other Kharif Pulses,420.000,200.000,0.476190
Andaman And Nicobar Islands,2001-02,Rice,9801.000,27333.000,2.788797
Andaman And Nicobar Islands,2001-02,Sugarcane,82.000,2380.000,29.024390
Andaman And Nicobar Islands,2001-02,Sweet Potato,111.000,38.000,0.342342
Andaman And Nicobar Islands,2002-03,Arecanut,4363.000,7350.000,1.684621
Andaman And Nicobar Islands,2002-03,Banana,1737.000,12160.000,7.000576
Andaman And Nicobar Islands,2002-03,Black Pepper,550.000,116.000,0.210909
Andaman And Nicobar Islands,2002-03,Cashewnut,800.000,232.000,0.290000
Andaman And Nicobar Islands,2002-03,Coconut,25300.000,94320000.000,3728.063241
Andaman And Nicobar Islands,2002-03,Dry Chillies,652.000,49.700,0.076227
Andaman And Nicobar Islands,2002-03,Ginger,399.300,1278.000,3.200601
Andaman And Nicobar Islands,2002-03,Other Oilseeds,85.100,40.310,0.473678
Andaman And Nicobar Islands,2002-03,Rice,10885.000,32111.660,2.950084
Andaman And Nicobar Islands,2002-03,Sugarcane,460.000,13800.000,30.000000
Andaman And Nicobar Islands,2003-04,Arecanut,4379.000,6707.000,1.531628
Andaman And Nicobar Islands,2003-04,Banana,1796.000,13321.000,7.417038
Andaman And Nicobar Islands,2003-04,Black Pepper,572.500,120.230,0.210009
Andaman And Nicobar Islands,2003-04,Cashewnut,833.500,234.640,0.281512
Andaman And Nicobar Islands,2003-04,Coconut,25394.740,95240000.000,3750.382953
Andaman And Nicobar Islands,2003-04,Dry Chillies,400.000,680.000,1.700000
Andaman And Nicobar Islands,2003-04,Ginger,508.000,1625.600,3.200000
Andaman And Nicobar Islands,2003-04,Other Oilseeds,86.290,35.810,0.414996
Andaman And Nicobar Islands,2003-04,Rice,10561.370,30850.870,2.921105
Andaman And Nicobar Islands,2003-04,Sugarcane,268.000,2879.520,10.744478
Andaman And Nicobar Islands,2004-05,Arecanut,4425.370,4781.050,1.080373
Andaman And Nicobar Islands,2004-05,Banana,1978.520,17778.520,8.985767
Andaman And Nicobar Islands,2004-05,Black Pepper,655.000,120.220,0.183542
Andaman And Nicobar Islands,2004-05,Cashewnut,800.000,223.000,0.278750
Andaman And Nicobar Islands,2004-05,Coconut,25551.400,87130000.000,3409.989277
