Subdivision,Year,Month,Rainfall_mm
Andaman & Nicobar Islands,1901,1,49.200
Andaman & Nicobar Islands,1901,2,87.100
Andaman & Nicobar Islands,1901,3,29.200
Andaman & Nicobar Islands,1901,4,2.300
Andaman & Nicobar Islands,1901,5,528.800
Andaman & Nicobar Islands,1901,6,517.500
Andaman & Nicobar Islands,1901,7,365.100
Andaman & Nicobar Islands,1901,8,481.100
Andaman & Nicobar Islands,1901,9,332.600
Andaman & Nicobar Islands,1901,10,388.500
Andaman & Nicobar Islands,1901,11,558.200
Andaman & Nicobar Islands,1901,12,33.600
Andaman & Nicobar Islands,1902,1,0.000
Andaman & Nicobar Islands,1902,2,159.800
Andaman & Nicobar Islands,1902,3,12.200
Andaman & Nicobar Islands,1902,4,0.000
Andaman & Nicobar Islands,1902,5,446.100
Andaman & Nicobar Islands,1902,6,537.100
Andaman & Nicobar Islands,1902,7,228.900
Andaman & Nicobar Islands,1902,8,753.700
Andaman & Nicobar Islands,1902,9,666.200
Andaman & Nicobar Islands,1902,10,197.200
Andaman & Nicobar Islands,1902,11,359.000
Andaman & Nicobar Islands,1902,12,160.500
Andaman & Nicobar Islands,1903,1,12.700
Andaman & Nicobar Islands,1903,2,144.000
Andaman & Nicobar Islands,1903,3,0.000
Andaman & Nicobar Islands,1903,4,1.000
Andaman & Nicobar Islands,1903,5,235.100
Andaman & Nicobar Islands,1903,6,479.900
Andaman & Nicobar Islands,1903,7,728.400
Andaman & Nicobar Islands,1903,8,326.700
Andaman & Nicobar Islands,1903,9,339.000
Andaman & Nicobar Islands,1903,10,181.200
Andaman & Nicobar Islands,1903,11,284.400
Andaman & Nicobar Islands,1903,12,225.000
Andaman & Nicobar Islands,1904,1,9.400
Andaman & Nicobar Islands,1904,2,14.700
Andaman & Nicobar Islands,1904,3,0.000
Andaman & Nicobar Islands,1904,4,202.400
Andaman & Nicobar Islands,1904,5,304.500
Andaman & Nicobar Islands,1904,6,495.100
Andaman & Nicobar Islands,1904,7,502.000
Andaman & Nicobar Islands,1904,8,160.100
Andaman & Nicobar Islands,1904,9,820.400
Andaman & Nicobar Islands,1904,10,222.200
Andaman & Nicobar Islands,1904,11,308.700
