Subdivision,Year,Annual_Rainfall_mm
Andaman & Nicobar Islands,1901,3373.200
Andaman & Nicobar Islands,1902,3520.700
Andaman & Nicobar Islands,1903,2957.400
Andaman & Nicobar Islands,1904,3079.600
Andaman & Nicobar Islands,1905,2566.700
Andaman & Nicobar Islands,1906,2534.400
Andaman & Nicobar Islands,1907,3347.900
Andaman & Nicobar Islands,1908,3576.400
Andaman & Nicobar Islands,1910,2899.400
Andaman & Nicobar Islands,1911,2687.200
Andaman & Nicobar Islands,1912,2960.500
Andaman & Nicobar Islands,1913,2365.800
Andaman & Nicobar Islands,1914,2957.800
Andaman & Nicobar Islands,1915,2741.300
Andaman & Nicobar Islands,1916,2937.500
Andaman & Nicobar Islands,1917,2612.400
Andaman & Nicobar Islands,1918,3275.000
Andaman & Nicobar Islands,1919,2352.100
Andaman & Nicobar Islands,1920,2943.200
Andaman & Nicobar Islands,1921,2606.400
Andaman & Nicobar Islands,1922,3554.200
Andaman & Nicobar Islands,1923,3079.596
Andaman & Nicobar Islands,1924,2349.635
Andaman & Nicobar Islands,1925,2480.500
Andaman & Nicobar Islands,1926,3282.200
Andaman & Nicobar Islands,1927,2442.900
Andaman & Nicobar Islands,1928,2998.300
Andaman & Nicobar Islands,1929,2926.600
Andaman & Nicobar Islands,1930,3075.100
Andaman & Nicobar Islands,1931,2357.700
Andaman & Nicobar Islands,1932,1771.227
Andaman & Nicobar Islands,1933,2987.500
Andaman & Nicobar Islands,1934,3722.800
Andaman & Nicobar Islands,1935,3154.000
Andaman & Nicobar Islands,1936,3081.782
Andaman & Nicobar Islands,1937,3591.100
Andaman & Nicobar Islands,1938,3264.400
Andaman & Nicobar Islands,1939,2782.500
Andaman & Nicobar Islands,1940,3007.500
Andaman & Nicobar Islands,1941,2898.200
Andaman & Nicobar Islands,1942,1420.652
Andaman & Nicobar Islands,1946,2791.600
Andaman & Nicobar Islands,1947,3092.112
Andaman & Nicobar Islands,1949,3489.600
Andaman & Nicobar Islands,1950,2422.200
Andaman & Nicobar Islands,1951,3275.100
Andaman & Nicobar Islands,1952,3079.900
Andaman & Nicobar Islands,1953,2722.000
Andaman & Nicobar Islands,1954,3449.000
Andaman & Nicobar Islands,1955,3349.600
Andaman & Nicobar Islands,1956,3079.900
Andaman & Nicobar Islands,1957,2507.200
Andaman & Nicobar Islands,1958,2807.400
Andaman & Nicobar Islands,1959,3343.400
Andaman & Nicobar Islands,1960,3025.100
Andaman & Nicobar Islands,1961,3938.200
Andaman & Nicobar Islands,1962,2959.700
Andaman & Nicobar Islands,1963,2981.700
Andaman & Nicobar Islands,1964,3054.800
Andaman & Nicobar Islands,1965,3163.900
Andaman & Nicobar Islands,1966,2701.200
Andaman & Nicobar Islands,1967,3216.600
Andaman & Nicobar Islands,1968,2762.800
Andaman & Nicobar Islands,1969,2619.200
Andaman & Nicobar Islands,1970,3370.900
Andaman & Nicobar Islands,1971,2998.700
Andaman & Nicobar Islands,1972,3323.100
Andaman & Nicobar Islands,1973,2991.000
Andaman & Nicobar Islands,1974,2962.100
Andaman & Nicobar Islands,1975,3085.600
Andaman & Nicobar Islands,1976,3276.000
Andaman & Nicobar Islands,1977,2388.200
Andaman & Nicobar Islands,1978,2712.400
Andaman & Nicobar Islands,1979,1849.300
Andaman & Nicobar Islands,1980,3625.300
Andaman & Nicobar Islands,1981,3074.700
Andaman & Nicobar Islands,1982,2384.500
Andaman & Nicobar Islands,1983,2792.500
Andaman & Nicobar Islands,1984,2820.300
Andaman & Nicobar Islands,1985,2630.800
Andaman & Nicobar Islands,1986,2187.900
Andaman & Nicobar Islands,1987,2763.900
Andaman & Nicobar Islands,1988,3323.100
Andaman & Nicobar Islands,1989,2533.700
Andaman & Nicobar Islands,1990,2183.200
Andaman & Nicobar Islands,1991,2535.600
Andaman & Nicobar Islands,1992,2098.600
Andaman & Nicobar Islands,1993,2237.400
Andaman & Nicobar Islands,1994,3263.100
Andaman & Nicobar Islands,1995,3115.500
Andaman & Nicobar Islands,1996,2996.900
Andaman & Nicobar Islands,1997,2755.100
Andaman & Nicobar Islands,1998,2846.400
Andaman & Nicobar Islands,1999,2699.700
Andaman & Nicobar Islands,2000,2763.100
Andaman & Nicobar Islands,2001,3080.800
Andaman & Nicobar Islands,2002,2620.100
Andaman & Nicobar Islands,2003,2355.700
Andaman & Nicobar Islands,2004,2460.000
Andaman & Nicobar Islands,2005,2954.500
Andaman & Nicobar Islands,2006,2404.700
Andaman & Nicobar Islands,2007,2748.200
Andaman & Nicobar Islands,2008,3374.900
Andaman & Nicobar Islands,2009,2538.600
Andaman & Nicobar Islands,2010,3157.100
Andaman & Nicobar Islands,2011,3828.000
Andaman & Nicobar Islands,2012,3497.600
Andaman & Nicobar Islands,2013,3757.700
Andaman & Nicobar Islands,2014,2622.500
Andaman & Nicobar Islands,2015,2904.500
Andaman & Nicobar Islands,2016,2851.900
Andaman & Nicobar Islands,2017,2890.000
Arunachal Pradesh,1916,3519.005
Arunachal Pradesh,1917,3626.396
Arunachal Pradesh,1918,5486.300
Arunachal Pradesh,1919,4693.900
Arunachal Pradesh,1920,4106.700
Arunachal Pradesh,1921,5691.400
Arunachal Pradesh,1922,4187.200
Arunachal Pradesh,1923,3507.500
Arunachal Pradesh,1924,4450.500
Arunachal Pradesh,1925,4439.800
Arunachal Pradesh,1926,3521.600
Arunachal Pradesh,1927,5253.200
Arunachal Pradesh,1928,5272.700
Arunachal Pradesh,1929,4320.100
Arunachal Pradesh,1930,4334.300
Arunachal Pradesh,1931,4872.100
Arunachal Pradesh,1932,4850.900
Arunachal Pradesh,1933,3773.400
Arunachal Pradesh,1934,4575.600
Arunachal Pradesh,1935,4173.500
Arunachal Pradesh,1936,4788.700
Arunachal Pradesh,1937,3375.100
Arunachal Pradesh,1938,6129.100
Arunachal Pradesh,1939,3898.600
Arunachal Pradesh,1940,4099.500
Arunachal Pradesh,1941,4220.200
Arunachal Pradesh,1942,3828.300
Arunachal Pradesh,1943,4326.600
Arunachal Pradesh,1944,3904.300
Arunachal Pradesh,1945,3649.200
Arunachal Pradesh,1946,4011.200
Arunachal Pradesh,1947,4369.100
Arunachal Pradesh,1948,6331.100
Arunachal Pradesh,1949,4874.800
Arunachal Pradesh,1950,2621.248
Arunachal Pradesh,1951,3354.300
